time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-07T22:48:00.483Z,-1.7159,99.305,10,4.6,mb,,173,3.462,1.04,us,us70006w38,2020-01-07T23:37:14.040Z,"16km SE of Muara Siberut, Indonesia",earthquake,9.9,1.9,0.107,26,reviewed,us,us
2020-01-07T19:11:35.805Z,-5.1549,151.2578,116.75,6,mww,,43,1.316,1.22,us,us70006vvr,2020-01-07T21:14:02.076Z,"131km ENE of Kimbe, Papua New Guinea",earthquake,7.2,5.5,0.08,15,reviewed,us,us
2020-01-07T19:08:58.977Z,12.2558,-86.4328,202.86,5.2,mww,,41,0.208,1,us,us70006vve,2020-01-07T22:56:19.461Z,"14km NW of Ciudad Sandino, Nicaragua",earthquake,7,4.3,0.051,37,reviewed,us,us
2020-01-07T17:21:19.827Z,-24.2216,-67.3526,191.56,4.5,mwr,,68,1.473,1.23,us,us70006vtv,2020-01-07T17:54:40.040Z,"105km W of San Antonio de los Cobres, Argentina",earthquake,4.5,9.5,,,reviewed,us,guc
2020-01-07T17:09:42.061Z,28.2208,104.9851,32.67,4.6,mb,,32,4.44,0.79,us,us70006vts,2020-01-07T18:34:03.040Z,"25km WSW of Zhongcheng, China",earthquake,7.7,5.4,0.065,71,reviewed,us,us
2020-01-07T16:27:07.510Z,17.9645,-66.8256,8,4.6,ml,11,203,0.2187,0.25,pr,pr2020007023,2020-01-07T21:05:30.191Z,"7km SW of Tallaboa, Puerto Rico",earthquake,0.99,1.68,0.13,6,reviewed,pr,pr
2020-01-07T14:04:45.306Z,17.8775,-66.7962,10.73,4.6,mb,,84,0.244,0.68,us,us70006vr1,2020-01-07T19:22:14.118Z,"13km S of Indios, Puerto Rico",earthquake,7.5,5.4,0.068,65,reviewed,us,us
2020-01-07T13:00:22.050Z,18.0136,-66.7501,9,4.5,ml,9,184,0.1468,0.14,pr,pr2020007012,2020-01-07T20:56:55.317Z,"4km E of Tallaboa, Puerto Rico",earthquake,0.56,3.4,0.12,4,reviewed,pr,pr
2020-01-07T12:54:42.450Z,17.9315,-66.927,8,4.7,ml,8,219,0.1232,0.15,pr,pr2020007054,2020-01-07T20:57:17.635Z,"2km NNW of Fuig, Puerto Rico",earthquake,0.75,1.53,0,0,reviewed,pr,pr
2020-01-07T11:18:43.540Z,18.0223,-66.776,9,5.6,mwp,10,177,0.171,0.08,pr,pr2020007010,2020-01-08T00:23:56.800Z,"1km SW of Tallaboa, Puerto Rico",earthquake,0.84,1.26,0,0,reviewed,pr,pr
2020-01-07T11:14:50.182Z,17.909,-66.7441,10,4.5,mb,,77,0.186,0.64,us,us70006vp7,2020-01-07T12:07:03.484Z,"9km SSW of Tallaboa, Puerto Rico",earthquake,2.8,1.9,0.109,25,reviewed,us,us
2020-01-07T10:08:36.401Z,37.2658,71.8264,144.33,4.5,mb,,117,0.295,0.65,us,us70006vni,2020-01-07T10:58:25.040Z,"0km N of Roshtqal'a, Tajikistan",earthquake,6.8,6.2,0.09,36,reviewed,us,us
2020-01-07T08:50:45.888Z,17.9534,-66.6768,10,5,mww,,48,0.111,1.1,us,us70006vmj,2020-01-07T17:53:33.037Z,"6km SE of Tallaboa, Puerto Rico",earthquake,3.5,1.8,0.089,12,reviewed,us,us
2020-01-07T08:34:02.229Z,17.9223,-66.7308,10,5.6,mww,,66,0.168,1.09,us,us70006vm9,2020-01-07T23:01:01.034Z,"8km S of Tallaboa, Puerto Rico",earthquake,1.8,1.7,0.071,19,reviewed,us,us
2020-01-07T08:27:11.199Z,1.7993,127.3411,107.07,4.8,mb,,112,1.021,0.98,us,us70006vlm,2020-01-07T12:04:04.040Z,"74km W of Tobelo, Indonesia",earthquake,10.2,8.7,0.105,28,reviewed,us,us
2020-01-07T08:24:26.567Z,17.9161,-66.8125,10,6.4,mww,,70,0.233,0.87,us,us70006vll,2020-01-08T00:23:38.734Z,"8km S of Indios, Puerto Rico",earthquake,3.3,1.8,0.038,66,reviewed,us,us
